date,mean_t,mean_t_qi,mean_t_hn,max_t,max_t_qi,max_t_hn,min_t,min_t_qi,min_t_hn,sum_rf,sum_rf_ni,sum_rf_qi,sum_rf_hn,dh,dh_ni,dh_qi,dh_hn,sum_sf,sum_sf_ni,sum_sf_qi,sum_sf_hn,mean_ws,mean_ws_qi,mean_ws_hn,most_wd,most_wd_qi,most_wd_hn,mean_h,mean_h_qi,mean_h_hn,mean_p,mean_p_qi,mean_p_hn,mean_cc,mean_cc_qi,mean_cc_hn,gwc_day,gwc_day_qi,gwc_day_hn,gwc_night,gwc_night_qi,gwc_night_hn
2020/3/1,12.0,8,1,17.9,8,1,6.6,8,1,0.5,0,8,1,9.5,0,8,1,0,1,8,1,2.4,8,1,北北西,8,1,65,8,1,1012.7,8,1,7.3,8,1,薄曇時々晴,8,1,曇後雨,8,1
2020/3/2,7.3,8,1,11.2,8,1,5.8,8,1,10.0,0,8,1,0.0,0,8,1,0,1,8,1,2.5,8,1,北北西,8,1,94,8,1,1013.5,8,1,10.0,8,1,雨,8,1,曇後晴,8,1
2020/3/3,11.3,8,1,17.8,8,1,5.3,8,1,0.0,0,8,1,10.1,0,8,1,0,1,8,1,3.2,8,1,北西,8,1,59,8,1,1017.3,8,1,6.5,8,1,晴一時薄曇,8,1,曇時々雨,8,1
2020/3/4,8.9,8,1,10.9,8,1,7.9,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,2.1,8,1,北北西,8,1,85,8,1,1015.4,8,1,10.0,8,1,曇一時雨,8,1,曇一時雨,8,1
2020/3/5,9.2,8,1,13.7,8,1,6.1,8,1,1.0,0,8,1,5.9,0,8,1,0,1,8,1,5.1,8,1,西北西,8,1,53,8,1,1003.7,8,1,4.8,8,1,晴一時曇,8,1,快晴,8,1
2020/3/6,9.4,8,1,15.1,8,1,5.4,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,4.0,8,1,北西,8,1,33,8,1,1014.4,8,1,0.3,8,1,快晴,8,1,晴後曇時々雨,8,1
2020/3/7,7.3,8,1,10.4,8,1,5.2,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,2.4,8,1,北東,8,1,68,8,1,1020.2,8,1,10.0,8,1,曇時々雨,8,1,雨時々曇,8,1
2020/3/8,7.2,8,1,8.9,8,1,5.6,8,1,6.0,0,8,1,0.0,0,8,1,0,1,8,1,2.5,8,1,北北西,8,1,94,8,1,1015.5,8,1,10.0,8,1,雨,8,1,曇後時々晴,8,1
2020/3/9,13.1,8,1,19.6,8,1,7.6,8,1,0.0,0,8,1,3.9,0,8,1,0,1,8,1,2.7,8,1,北北西,8,1,79,8,1,1013.7,8,1,7.5,8,1,曇一時晴,8,1,曇後一時雨,8,1
2020/3/10,14.7,8,1,18.2,8,1,12.6,8,1,24.5,0,8,1,0.0,0,8,1,0,1,8,1,2.5,8,1,南,8,1,97,8,1,1000.1,8,1,7.5,8,1,雨時々曇,8,1,晴一時雨後曇,8,1
2020/3/11,15.3,8,1,21.4,8,1,9.8,8,1,0.0,0,8,1,7.9,0,8,1,0,1,8,1,3.3,8,1,北西,8,1,58,8,1,997.3,8,1,6.3,8,1,晴後一時雨,8,1,晴,8,1
2020/3/12,11.4,8,1,16.7,8,1,7.0,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,4.1,8,1,南東,8,1,48,8,1,1016.7,8,1,1.0,8,1,晴,8,1,晴後薄曇,8,1
2020/3/13,12.5,8,1,18.7,8,1,6.8,8,1,0,1,8,1,7.0,0,8,1,0,1,8,1,2.4,8,1,西北西,8,1,62,8,1,1012.5,8,1,7.5,8,1,薄曇,8,1,晴後一時曇,8,1
2020/3/14,5.5,8,1,12.3,8,1,1.3,8,1,25.0,0,8,1,0.0,0,8,1,0,1,8,1,3.2,8,1,北東,8,1,88,8,1,1006.1,8,1,9.3,8,1,雨後雪時々みぞれ,8,1,曇一時雨後晴,8,1
2020/3/15,7.1,8,1,12.0,8,1,1.8,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,2.6,8,1,西北西,8,1,67,8,1,1002.6,8,1,4.0,8,1,晴後一時曇,8,1,晴一時薄曇,8,1
2020/3/16,7.1,8,1,14.4,8,1,3.6,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,4.7,8,1,北西,8,1,55,8,1,1003.9,8,1,2.0,8,1,晴一時曇,8,1,快晴,8,1
2020/3/17,7.7,8,1,12.7,8,1,2.3,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,3.3,8,1,南南東,8,1,47,8,1,1012.1,8,1,2.5,8,1,晴時々曇,8,1,晴後一時曇,8,1
2020/3/18,11.9,8,1,18.4,8,1,4.8,8,1,0.0,0,8,1,10.7,0,8,1,0,1,8,1,2.7,8,1,西北西,8,1,52,8,1,1010.0,8,1,0.3,8,1,快晴,8,1,快晴,8,1
2020/3/19,14.6,8,1,22.0,8,1,6.5,8,1,1.0,0,8,1,11.0,0,8,1,0,1,8,1,3.7,8,1,南,8,1,65,8,1,1006.7,8,1,2.5,8,1,快晴,8,1,曇時々晴一時雨,8,1
2020/3/20,14.5,8,1,19.4,8,1,9.5,8,1,0.0,0,8,1,8.9,0,8,1,0,1,8,1,3.5,8,1,北北西,8,1,48,8,1,999.7,8,1,3.0,8,1,晴一時曇,8,1,快晴,8,1
2020/3/21,13.8,8,1,21.0,8,1,7.6,8,1,0,1,8,1,11.0,0,8,1,0,1,8,1,2.9,8,1,南南東,8,1,44,8,1,1007.9,8,1,0.5,8,1,晴,8,1,晴後薄曇,8,1
2020/3/22,16.8,8,1,23.7,8,1,10.5,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,3.5,8,1,南,8,1,49,8,1,1003.9,8,1,6.8,8,1,薄曇時々晴,8,1,曇時々晴,8,1
2020/3/23,10.3,8,1,14.0,8,1,7.7,8,1,0.0,0,8,1,2.4,0,8,1,0,1,8,1,2.7,8,1,南東,8,1,59,8,1,1007.3,8,1,8.5,8,1,曇一時雨後時々晴,8,1,晴時々曇後一時雨,8,1
2020/3/24,8.2,8,1,12.6,8,1,4.7,8,1,0.0,0,8,1,11.3,0,8,1,0,1,8,1,4.7,8,1,北西,8,1,44,8,1,1011.6,8,1,2.5,8,1,快晴,8,1,快晴,8,1
2020/3/25,10.0,8,1,16.0,8,1,3.4,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,3.0,8,1,北西,8,1,45,8,1,1017.4,8,1,0.5,8,1,快晴,8,1,曇時々晴,8,1
2020/3/26,13.0,8,1,20.0,8,1,7.5,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,2.2,8,1,西北西,8,1,50,8,1,1017.9,8,1,3.5,8,1,晴,8,1,晴,8,1
2020/3/27,16.2,8,1,22.8,8,1,9.1,8,1,0.0,0,8,1,1.4,0,8,1,0,1,8,1,4.7,8,1,南,8,1,69,8,1,1012.7,8,1,8.0,8,1,曇,8,1,曇,8,1
2020/3/28,15.5,8,1,24.6,8,1,7.4,8,1,8.5,0,8,1,0.9,0,8,1,0,1,8,1,4.4,8,1,南,8,1,83,8,1,1008.8,8,1,10.0,8,1,曇時々雨,8,1,大雨,8,1
2020/3/29,3.6,8,1,7.7,8,1,0.7,8,1,51.5,0,8,1,0.0,0,8,1,1,0,8,1,2.8,8,1,北北西,8,1,96,8,1,1016.7,8,1,10.0,8,1,雨時々雪後一時曇、みぞれを伴う,8,1,曇,8,1
2020/3/30,7.6,8,1,10.3,8,1,3.5,8,1,0,1,8,1,1.0,0,8,1,0,1,8,1,1.9,8,1,北北西,8,1,72,8,1,1020.1,8,1,10.0,8,1,曇,8,1,曇,8,1
2020/3/31,9.8,8,1,12.5,8,1,8.2,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,1.9,8,1,北北西,8,1,79,8,1,1019.4,8,1,,0,1,,8,1,,8,1


雲量: cloud cover
天気概況: a general weather condition
